caminho,tipo,feature,responsabilidade,camada,importadores_principais,dependencias_pesadas,leitura_dados,escrita_dados,cache_atual,invalidacao_atual,risco_seguranca,risco_desempenho,codigo_duplicado,teste_associado,acao_recomendada,prioridade,estado
docs/evidence/NEX-032_HOURS_STEP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-033_SERVICES_STEP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-034_RULES_STEP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-035_PUBLISH_STEP.md,doc,docs,,docs,,,rpc,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-036_USABILITY_TEST.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-040_CATEGORIES_CRUD.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-041_SERVICES_CRUD.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-042_PACKAGES_CRUD.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-043_PACKAGE_CART.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-044_CATALOG_POLISH.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-050_PUBLIC_PAGE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-051_PRE_REGISTRATION.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-052_DRAFT_RECOVERY.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-053_SERVICE_PACKAGE_SELECTOR.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-054_FIXED_CART_BAR.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-060_HORARIOS_EXCECOES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-094_CLIENT_PHOTOS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-120_GERADOR_RECORRENCIAS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-121_DETETAR_CONFLITOS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-122_CRIAR_SERIE_ATOMICAMENTE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-123_EDITAR_ESCOPO_SERIE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-124_BLOQUEIOS_COMPLETOS.md,doc,docs,,docs,,,,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-125_HORARIOS_ESPECIAIS.md,doc,docs,,docs,,,,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-132_EXPORTAR_CSV.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-133_EXPORTAR_EXCEL.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-134_EXPORTAR_PDF.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-135_RETENCAO_EXPORTACAO.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-140_CENTRAL_DEFINICOES.md,doc,docs,,docs,,,,,,revalidatePath,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-141_DEFAULTS_RECOMENDACOES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-142_PRE_VISUALIZACAO_PAGINA_PUBLICA.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-143_CONFIRMACOES_DESFAZER.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-144_AJUDA_CONTEXTUAL.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-150_DESIGN_SYSTEM_CLAYMORPHISM.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-151_NAVEGACAO_MOBILE_DESKTOP.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-152_MANIFEST_INSTALACAO_PWA.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-153_ESTRATEGIA_CACHE_SEGURA.md,doc,docs,,docs,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-154_AUDITORIA_WCAG_AA.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-155_PERFORMANCE_WEB_VITALS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-160_DATA_MAP_SUBPROCESSADORES.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-161_RETENCAO_LIMPEZA_DRAFTS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-162_EXPORTAR_DADOS_CLIENTE.md,doc,docs,,docs,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-163_APAGAR_ANONIMIZAR_CLIENTE.md,doc,docs,,docs,,,select/from,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-164_HEADERS_CSP_COMPLETOS.md,doc,docs,,docs,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-165_HARDENING_UPLOADS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-166_THREAT_MODEL_SECURITY_REVIEW.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-167_PENTEST_PROPORCIONAL.md,doc,docs,,docs,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-170_LOGS_ESTRUTURADOS_REDACTION.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-171_METRICAS_ALERTAS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-172_DEPLOY_PREVIEW_PROD_SEPARADOS.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-175_LOAD_CONCURRENCY_TEST.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/NEX-178_PUBLIC_BOOKING_CLIENT_CONCURRENCY.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/SESSAO_2026-07-20_FLUXO_PUBLICO_PAGINADO.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/evidence/SESSAO_2026-07-20_REDESIGN_FLUXO_PUBLICO.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
docs/reference/PROMPT_MESTRE_ARQUITETO_SAAS_CYBERSEGURANCA_PRIVACIDADE.md,doc,docs,,docs,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
eslint.config.mjs,other,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
lighthouse-budgets.json,config-json,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
next-env.d.ts,module-ts,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
next.config.ts,module-ts,root,,shared,,,,,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
package-lock.json,config-json,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
package.json,config-json,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
playwright.config.ts,module-ts,root,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
public/icons/apple-touch-icon.png,asset-binary,root,binario/gerado — nao aplicavel leitura de texto,binary,,,,,,,,,,,,,revisto (binario/gerado)
public/icons/icon-192.png,asset-binary,root,binario/gerado — nao aplicavel leitura de texto,binary,,,,,,,,,,,,,revisto (binario/gerado)
public/icons/icon-512.png,asset-binary,root,binario/gerado — nao aplicavel leitura de texto,binary,,,,,,,,,,,,,revisto (binario/gerado)
public/icons/icon-maskable-512.png,asset-binary,root,binario/gerado — nao aplicavel leitura de texto,binary,,,,,,,,,,,,,revisto (binario/gerado)
public/sw.js,other,root,,shared,,,,mutacao-supabase,no-store,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/check-bundle-budget.mjs,script,tooling,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/create-github-issues.mjs,script,tooling,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/lib/bundle-budget.d.mts,script,tooling,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/lib/bundle-budget.mjs,script,tooling,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/load-test.mjs,script,tooling,,shared,,,rpc,mutacao-supabase,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/provision-owner.mjs,script,tooling,,shared,,,rpc,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
scripts/publish-to-github.sh,script,tooling,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/(auth)/definir-password/page.tsx,page,auth,,client,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(auth)/login/page.tsx,page,auth,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(auth)/recuperar-password/page.tsx,page,auth,,client,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/agenda/[id]/page.tsx,page,dashboard-agenda,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/agenda/loading.tsx,component,dashboard-agenda,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/agenda/nova/page.tsx,page,dashboard-agenda,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/agenda/page.tsx,page,dashboard-agenda,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/clientes/[id]/page.tsx,page,dashboard-clientes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/clientes/page.tsx,page,dashboard-clientes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/agenda/page.tsx,page,dashboard-definicoes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/aparencia/page.tsx,page,dashboard-definicoes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/dados/page.tsx,page,dashboard-definicoes,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/lembretes/page.tsx,page,dashboard-definicoes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/marcacoes/page.tsx,page,dashboard-definicoes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/negocio/page.tsx,page,dashboard-definicoes,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/pagamentos/page.tsx,page,dashboard-definicoes,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/definicoes/page.tsx,page,dashboard-definicoes,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/financeiro/loading.tsx,component,dashboard-financeiro,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/financeiro/page.tsx,page,dashboard-financeiro,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/financeiro/pendentes/page.tsx,page,dashboard-financeiro,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/lembretes/loading.tsx,component,dashboard-lembretes,,shared,,,,,,,sem sinal automatico,,,,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/lembretes/page.tsx,page,dashboard-lembretes,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/mais/page.tsx,page,dashboard-mais,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,PR3: removidas 2 queries redundantes (profiles.display_name/tenants.slug) — agora vem de requireProfile(); nenhuma acao adicional pendente,baixa,revisto (manual PR3)
src/app/(dashboard)/dashboard/page.tsx,page,dashboard-page.tsx,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,PR3: removidas 2 queries redundantes (profiles.display_name/tenants.slug) — agora vem de requireProfile(); dashboard fan-out de 8 queries de negocio (PR1) continua para PR4+,media,revisto (manual PR3)
src/app/(dashboard)/dashboard/relatorios/page.tsx,page,dashboard-relatorios,,server,,,,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/dashboard/servicos/page.tsx,page,dashboard-servicos,,server,,,select/from,,,,sem sinal automatico,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(dashboard)/layout.tsx,layout,root,,server,,,,,,,sem sinal automatico,,,tests/e2e/catalog-mobile-layout.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(onboarding)/layout.tsx,layout,onboarding,,server,,,,,,,sem sinal automatico,,,tests/e2e/catalog-mobile-layout.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/(onboarding)/onboarding/page.tsx,page,onboarding,,server,,,select/from,,,,MEDIO: select('*') presente,,,tests/e2e/public-business-page.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/bookings/[token]/calendar.ics/route.ts,route-handler,root,,server,,,,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
src/app/api/bookings/[token]/route.ts,route-handler,root,,server,,,,,no-store,,sem sinal automatico,,,tests/e2e/protected-routes.spec.ts,,,revisto (automatizado por padrao de conteudo)
